Total Accesses:,7086622
Frames,Missees,Miss Rate
0,7086622,1.000000
1,6105474,0.861549
2,4495517,0.634367
3,4157840,0.586717
4,3985544,0.562404
5,3853639,0.543791
6,3769430,0.531908
7,3680551,0.519366
8,3534416,0.498745
9,3291317,0.464441
10,3052627,0.430759
11,2837713,0.400432
12,2697853,0.380697
13,2598678,0.366702
14,2504523,0.353416
15,2401517,0.338880
16,2298363,0.324324
17,2205226,0.311182
18,2120172,0.299179
19,2039533,0.287800
20,1958598,0.276380
21,1879002,0.265148
22,1803423,0.254483
23,1734624,0.244774
24,1674172,0.236244
25,1622873,0.229005
26,1579792,0.222926
27,1543500,0.217805
28,1512747,0.213465
29,1486488,0.209760
30,1463988,0.206585
31,1443785,0.203734
32,1426097,0.201238
33,1410101,0.198981
34,1395448,0.196913
35,1381648,0.194966
36,1368820,0.193155
37,1356612,0.191433
38,1344720,0.189755
39,1333669,0.188195
40,1322928,0.186680
41,1312687,0.185235
42,1302707,0.183826
43,1292683,0.182412
44,1283030,0.181050
45,1273539,0.179710
46,1264198,0.178392
47,1255132,0.177113
48,1246363,0.175875
49,1237696,0.174652
50,1229239,0.173459
51,1221028,0.172300
52,1212759,0.171134
53,1204849,0.170017
54,1196914,0.168898
55,1189322,0.167826
56,1181787,0.166763
57,1174266,0.165702
58,1166870,0.164658
59,1159717,0.163649
60,1152449,0.162623
61,1145287,0.161613
62,1138329,0.160631
63,1131663,0.159690
64,1124840,0.158727
65,1118146,0.157783
66,1111616,0.156861
67,1105102,0.155942
68,1098767,0.155048
69,1092416,0.154152
70,1086162,0.153269
71,1080049,0.152407
72,1073940,0.151545
73,1067928,0.150696
74,1062064,0.149869
75,1056219,0.149044
76,1050472,0.148233
77,1044875,0.147443
78,1039305,0.146657
79,1033694,0.145866
80,1028298,0.145104
81,1023100,0.144371
82,1017790,0.143621
83,1012812,0.142919
84,1007646,0.142190
85,1002887,0.141518
86,998054,0.140836
87,993264,0.140160
88,988555,0.139496
89,983860,0.138833
90,979214,0.138178
91,974699,0.137541
92,970188,0.136904
93,965707,0.136272
94,961365,0.135659
95,957140,0.135063
96,952974,0.134475
97,948690,0.133871
98,944582,0.133291
99,940455,0.132709
100,936487,0.132149
101,932455,0.131580
102,928420,0.131010
103,924353,0.130436
104,920401,0.129879
105,916452,0.129321
106,912519,0.128766
107,908615,0.128216
108,904837,0.127682
109,901141,0.127161
110,897395,0.126632
111,893706,0.126112
112,889960,0.125583
113,886274,0.125063
114,882710,0.124560
115,879193,0.124064
116,875668,0.123566
117,872197,0.123077
118,868847,0.122604
119,865431,0.122122
120,862048,0.121644
121,858732,0.121176
122,855412,0.120708
123,852106,0.120241
124,848820,0.119778
125,845593,0.119322
126,842426,0.118876
127,839305,0.118435
128,836214,0.117999
129,833133,0.117564
130,830055,0.117130
131,827001,0.116699
132,823966,0.116271
133,820947,0.115845
134,818083,0.115440
135,815176,0.115030
136,812303,0.114625
137,809410,0.114217
138,806557,0.113814
139,803670,0.113407
140,800815,0.113004
141,798048,0.112613
142,795200,0.112211
143,792472,0.111826
144,789737,0.111441
145,786996,0.111054
146,784351,0.110681
147,781735,0.110311
148,779145,0.109946
149,776633,0.109591
150,774108,0.109235
151,771568,0.108877
152,769025,0.108518
153,766472,0.108158
154,763870,0.107790
155,761346,0.107434
156,758939,0.107095
157,756455,0.106744
158,754058,0.106406
159,751664,0.106068
160,749292,0.105733
161,746849,0.105389
162,744514,0.105059
163,742139,0.104724
164,739836,0.104399
165,737556,0.104077
166,735242,0.103751
167,733001,0.103434
168,730757,0.103118
169,728525,0.102803
170,726334,0.102494
171,724190,0.102191
172,721990,0.101881
173,719840,0.101577
174,717586,0.101259
175,715423,0.100954
176,713253,0.100648
177,711205,0.100359
178,709120,0.100065
179,707079,0.099777
180,705071,0.099493
181,703044,0.099207
182,701027,0.098923
183,698981,0.098634
184,696993,0.098353
185,694998,0.098072
186,692986,0.097788
187,691012,0.097509
188,688978,0.097222
189,687023,0.096946
190,685081,0.096672
191,683159,0.096401
192,681197,0.096124
193,679287,0.095855
194,677435,0.095593
195,675516,0.095323
196,673613,0.095054
197,671620,0.094773
198,669722,0.094505
199,667877,0.094245
200,666084,0.093992
201,664152,0.093719
202,662399,0.093472
203,660521,0.093207
204,658682,0.092947
205,656848,0.092688
206,655013,0.092430
207,653255,0.092181
208,651454,0.091927
209,649609,0.091667
210,647855,0.091419
211,646127,0.091176
212,644372,0.090928
213,642616,0.090680
214,640857,0.090432
215,639125,0.090188
216,637393,0.089943
217,635705,0.089705
218,634093,0.089477
219,632383,0.089236
220,630697,0.088998
221,629099,0.088773
222,627501,0.088547
223,625838,0.088313
224,624216,0.088084
225,622696,0.087869
226,621060,0.087638
227,619494,0.087417
228,617955,0.087200
229,616394,0.086980
230,614789,0.086753
231,613213,0.086531
232,611720,0.086320
233,610214,0.086108
234,608783,0.085906
235,607238,0.085688
236,605718,0.085473
237,604293,0.085272
238,602841,0.085067
239,601416,0.084866
240,599979,0.084664
241,598512,0.084457
242,597093,0.084256
243,595661,0.084054
244,594227,0.083852
245,592774,0.083647
246,591398,0.083453
247,589993,0.083254
248,588606,0.083059
249,587134,0.082851
250,585727,0.082652
251,584323,0.082454
252,582901,0.082254
253,581534,0.082061
254,580203,0.081873
255,578893,0.081688
256,577564,0.081501
257,576220,0.081311
258,574838,0.081116
259,573515,0.080929
260,572214,0.080746
261,570924,0.080564
262,569635,0.080382
263,568324,0.080197
264,566897,0.079995
265,565531,0.079803
266,564229,0.079619
267,562926,0.079435
268,561599,0.079248
269,560340,0.079070
270,559010,0.078882
271,557736,0.078703
272,556447,0.078521
273,555168,0.078340
274,553908,0.078162
275,552656,0.077986
276,551328,0.077798
277,549969,0.077607
278,548683,0.077425
279,547412,0.077246
280,546160,0.077069
281,544888,0.076890
282,543631,0.076712
283,542366,0.076534
284,541110,0.076357
285,539874,0.076182
286,538674,0.076013
287,537441,0.075839
288,536204,0.075664
289,534963,0.075489
290,533742,0.075317
291,532493,0.075141
292,531273,0.074968
293,530097,0.074802
294,528931,0.074638
295,527821,0.074481
296,526688,0.074321
297,525509,0.074155
298,524373,0.073995
299,523244,0.073835
300,522131,0.073678
301,521067,0.073528
302,519982,0.073375
303,518850,0.073215
304,517712,0.073055
305,516590,0.072897
306,515491,0.072741
307,514391,0.072586
308,513266,0.072427
309,512144,0.072269
310,511045,0.072114
311,509938,0.071958
312,508848,0.071804
313,507758,0.071650
314,506668,0.071496
315,505577,0.071342
316,504490,0.071189
317,503469,0.071045
318,502407,0.070895
319,501339,0.070744
320,500264,0.070593
321,499235,0.070448
322,498143,0.070293
323,497068,0.070142
324,496028,0.069995
325,495002,0.069850
326,493935,0.069700
327,492956,0.069561
328,491944,0.069419
329,490952,0.069279
330,489909,0.069132
331,488930,0.068993
332,487920,0.068851
333,486868,0.068702
334,485877,0.068563
335,484853,0.068418
336,483818,0.068272
337,482786,0.068126
338,481807,0.067988
