Total Accesses:,7086622
Frames,Missees,Miss Rate
0,7086622,1.000000
1,6188885,0.873319
2,4683848,0.660942
3,4394631,0.620131
4,4241057,0.598460
5,4132968,0.583207
6,4054124,0.572081
7,3971934,0.560483
8,3837519,0.541516
9,3623384,0.511299
10,3394325,0.478976
11,3191157,0.450307
12,3032253,0.427884
13,2924551,0.412686
14,2832445,0.399689
15,2737830,0.386338
16,2642349,0.372864
17,2552119,0.360132
18,2469757,0.348510
19,2391412,0.337454
20,2315283,0.326712
21,2239430,0.316008
22,2165604,0.305590
23,2096116,0.295785
24,2032999,0.286878
25,1977586,0.279059
26,1930475,0.272411
27,1890627,0.266788
28,1856798,0.262015
29,1828575,0.258032
30,1804383,0.254618
31,1783329,0.251647
32,1765110,0.249076
33,1749232,0.246836
34,1734684,0.244783
35,1721689,0.242949
36,1709601,0.241243
37,1698313,0.239651
38,1687757,0.238161
39,1677729,0.236746
40,1668127,0.235391
41,1658724,0.234064
42,1649722,0.232794
43,1641078,0.231574
44,1632911,0.230422
45,1624845,0.229283
46,1617064,0.228185
47,1609196,0.227075
48,1601748,0.226024
49,1594285,0.224971
50,1587092,0.223956
51,1580044,0.222962
52,1573097,0.221981
53,1566270,0.221018
54,1559689,0.220089
55,1553097,0.219159
56,1546743,0.218262
57,1540532,0.217386
58,1534498,0.216534
59,1528497,0.215688
60,1522641,0.214861
61,1516728,0.214027
62,1511047,0.213225
63,1505454,0.212436
64,1499799,0.211638
65,1494274,0.210858
66,1488910,0.210102
67,1483619,0.209355
68,1478435,0.208623
69,1473326,0.207902
70,1468292,0.207192
71,1463251,0.206481
72,1458379,0.205793
73,1453426,0.205094
74,1448567,0.204409
75,1443884,0.203748
76,1439064,0.203068
77,1434422,0.202413
78,1429922,0.201778
79,1425505,0.201154
80,1421065,0.200528
81,1416702,0.199912
82,1412572,0.199329
83,1408402,0.198741
84,1404339,0.198168
85,1400346,0.197604
86,1396396,0.197047
87,1392545,0.196503
88,1388665,0.195956
89,1385041,0.195444
90,1381446,0.194937
91,1377871,0.194433
92,1374400,0.193943
93,1370808,0.193436
94,1367472,0.192965
95,1364105,0.192490
96,1360741,0.192015
97,1357440,0.191550
98,1354250,0.191100
99,1351211,0.190671
100,1348118,0.190234
101,1345015,0.189796
102,1342018,0.189373
103,1339033,0.188952
104,1336007,0.188525
105,1332981,0.188098
106,1330097,0.187691
107,1327094,0.187268
108,1324279,0.186870
109,1321415,0.186466
110,1318623,0.186072
111,1315814,0.185676
112,1313181,0.185304
113,1310421,0.184915
114,1307698,0.184531
115,1304920,0.184139
116,1302211,0.183756
117,1299540,0.183379
118,1296848,0.182999
119,1294208,0.182627
120,1291631,0.182263
121,1288998,0.181892
122,1286443,0.181531
123,1283975,0.181183
124,1281492,0.180833
125,1279043,0.180487
126,1276609,0.180144
127,1274154,0.179797
128,1271737,0.179456
129,1269299,0.179112
130,1266926,0.178777
131,1264505,0.178436
132,1262174,0.178107
133,1259739,0.177763
134,1257334,0.177424
135,1255069,0.177104
136,1252773,0.176780
137,1250536,0.176464
138,1248257,0.176143
139,1245909,0.175811
140,1243712,0.175501
141,1241460,0.175184
142,1239275,0.174875
143,1237056,0.174562
144,1234847,0.174250
145,1232641,0.173939
146,1230421,0.173626
147,1228301,0.173327
148,1226137,0.173021
149,1224126,0.172738
150,1222050,0.172445
151,1219938,0.172147
152,1217846,0.171851
153,1215776,0.171559
154,1213700,0.171266
155,1211613,0.170972
156,1209555,0.170681
157,1207544,0.170398
158,1205574,0.170120
159,1203552,0.169834
160,1201563,0.169554
161,1199641,0.169282
162,1197749,0.169016
163,1195784,0.168738
164,1193791,0.168457
165,1191879,0.168187
166,1189961,0.167917
167,1188117,0.167656
168,1186299,0.167400
169,1184482,0.167143
170,1182645,0.166884
171,1180789,0.166622
172,1178946,0.166362
173,1177150,0.166109
174,1175404,0.165862
175,1173560,0.165602
176,1171677,0.165336
177,1169906,0.165087
178,1168133,0.164836
179,1166423,0.164595
180,1164639,0.164343
181,1162869,0.164094
182,1161129,0.163848
183,1159374,0.163600
184,1157607,0.163351
185,1155870,0.163106
186,1154118,0.162859
187,1152399,0.162616
188,1150798,0.162390
189,1149051,0.162144
190,1147405,0.161911
191,1145755,0.161679
192,1144156,0.161453
193,1142475,0.161216
194,1140821,0.160982
195,1139218,0.160756
196,1137503,0.160514
197,1135924,0.160291
198,1134316,0.160064
199,1132749,0.159843
200,1131202,0.159625
201,1129739,0.159419
202,1128189,0.159200
203,1126646,0.158982
204,1125141,0.158770
205,1123609,0.158554
206,1122157,0.158349
207,1120563,0.158124
208,1119077,0.157914
209,1117564,0.157701
210,1116062,0.157489
211,1114512,0.157270
212,1113018,0.157059
213,1111487,0.156843
214,1110072,0.156643
215,1108495,0.156421
216,1107080,0.156221
217,1105626,0.156016
218,1104142,0.155807
219,1102689,0.155601
220,1101292,0.155404
221,1099904,0.155209
222,1098481,0.155008
223,1097099,0.154813
224,1095654,0.154609
225,1094262,0.154412
226,1092914,0.154222
227,1091481,0.154020
228,1090101,0.153825
229,1088732,0.153632
230,1087355,0.153438
231,1085969,0.153242
232,1084553,0.153042
233,1083201,0.152852
234,1081932,0.152672
235,1080650,0.152492
236,1079371,0.152311
237,1078087,0.152130
238,1076789,0.151947
239,1075441,0.151757
240,1074070,0.151563
241,1072715,0.151372
242,1071414,0.151188
243,1070132,0.151007
244,1068852,0.150827
245,1067577,0.150647
246,1066300,0.150467
247,1065029,0.150287
248,1063789,0.150112
249,1062460,0.149925
250,1061215,0.149749
251,1059871,0.149559
252,1058631,0.149384
253,1057401,0.149211
254,1056121,0.149030
255,1054865,0.148853
256,1053594,0.148674
257,1052399,0.148505
258,1051180,0.148333
259,1049949,0.148159
260,1048689,0.147982
261,1047428,0.147804
262,1046235,0.147635
263,1045038,0.147466
264,1043801,0.147292
265,1042674,0.147133
266,1041473,0.146963
267,1040351,0.146805
268,1039105,0.146629
269,1037949,0.146466
270,1036769,0.146299
271,1035640,0.146140
272,1034432,0.145970
273,1033307,0.145811
274,1032158,0.145649
275,1030983,0.145483
276,1029846,0.145323
277,1028656,0.145155
278,1027561,0.145000
279,1026402,0.144837
280,1025276,0.144678
281,1024096,0.144511
282,1022886,0.144340
283,1021731,0.144177
284,1020575,0.144014
285,1019451,0.143856
286,1018265,0.143688
287,1017098,0.143524
288,1015944,0.143361
289,1014798,0.143199
290,1013670,0.143040
291,1012553,0.142882
292,1011376,0.142716
293,1010262,0.142559
294,1009152,0.142402
295,1008040,0.142245
296,1006923,0.142088
297,1005825,0.141933
298,1004713,0.141776
299,1003577,0.141616
300,1002409,0.141451
301,1001295,0.141294
302,1000196,0.141139
303,999105,0.140985
304,997948,0.140821
305,996816,0.140662
306,995752,0.140512
307,994684,0.140361
308,993549,0.140201
309,992428,0.140042
310,991320,0.139886
311,990273,0.139738
312,989267,0.139596
313,988221,0.139449
314,987117,0.139293
315,986046,0.139142
316,984965,0.138989
